initial_search_query,query,position,link,displayLink,site_probability
therapy near me,occupational therapy near me,6,https://www.une.edu/wchp/ot,www.une.edu,4.193803860087101e-05
therapy near me,occupational therapy near me,7,https://www.connecticutchildrens.org/search-specialties/occupational-therapy/,www.connecticutchildrens.org,3.355043088069681e-05
therapy near me,occupational therapy near me,8,https://www.mainehealth.org/Southern-Maine-Health-Care/Services/Occupational-Therapy,www.mainehealth.org,2.5162823160522605e-05
therapy near me,occupational therapy near me,9,https://www.indeed.com/q-Occupational-Therapist-l-Maine-jobs.html,www.indeed.com,1.6775215440348403e-05
therapy near me,occupational therapy near me,10,https://www.athletico.com/services/occupational-therapy/,www.athletico.com,8.387607720174202e-06
therapy near me,occupational therapy,1,https://en.wikipedia.org/wiki/Occupational_therapy,en.wikipedia.org,0.00734713737086535
therapy near me,occupational therapy,2,https://www.aota.org/About-Occupational-Therapy.aspx,www.aota.org,0.004198364211923058
therapy near me,occupational therapy,3,https://www.bls.gov/ooh/healthcare/occupational-therapists.htm,www.bls.gov,0.0031487731589422926
therapy near me,occupational therapy,4,https://www.aota.org/Conference-Events/OTMonth/what-is-OT.aspx,www.aota.org,0.001679345684769223
therapy near me,occupational therapy,5,https://www.webmd.com/pain-management/occupational-rehab,www.webmd.com,0.00146942747417307
therapy near me,occupational therapy,6,https://kidshealth.org/en/parents/occupational-therapy.html,kidshealth.org,0.0010495910529807644
therapy near me,occupational therapy,7,https://www.understood.org/en/learning-thinking-differences/treatments-approaches/therapies/occupational-therapy-what-you-need-to-know,www.understood.org,0.0008396728423846115
therapy near me,occupational therapy,8,https://www.usnews.com/best-graduate-schools/top-health-schools/occupational-therapy-rankings,www.usnews.com,0.0006297546317884585
therapy near me,occupational therapy,9,https://www.nbcot.org/,www.nbcot.org,0.00041983642119230573
therapy near me,occupational therapy,10,https://www.ithaca.edu/academics/school-health-sciences-and-human-performance/occupational-therapy,www.ithaca.edu,0.00020991821059615287
therapy near me,physical therapy jobs near me,1,https://www.indeed.com/q-Physical-Therapist-jobs.html,www.indeed.com,0.00023291823637545733
therapy near me,physical therapy jobs near me,2,https://www.ziprecruiter.com/Jobs/Physical-Therapy,www.ziprecruiter.com,0.00013309613507168992
therapy near me,physical therapy jobs near me,3,"https://www.glassdoor.com/Job/physical-therapist-jobs-SRCH_KO0,18.htm",www.glassdoor.com,9.982210130376744e-05
therapy near me,physical therapy jobs near me,4,"https://www.indeed.com/q-Physical-Therapist-l-Philadelphia,-PA-jobs.html",www.indeed.com,5.323845402867597e-05
therapy near me,physical therapy jobs near me,5,https://jobs.apta.org/,jobs.apta.org,4.6583647275091474e-05
therapy near me,physical therapy jobs near me,6,https://pt.ia.associationcareernetwork.com/,pt.ia.associationcareernetwork.com,3.327403376792248e-05
therapy near me,physical therapy jobs near me,7,https://www.bls.gov/ooh/healthcare/physical-therapists.htm,www.bls.gov,2.6619227014337986e-05
therapy near me,physical therapy jobs near me,8,https://www.monster.com/jobs/q-physical-therapy-jobs,www.monster.com,1.996442026075349e-05
therapy near me,physical therapy jobs near me,9,https://thenonclinicalpt.com/non-clinical-jobs-physical-therapists/,thenonclinicalpt.com,1.3309613507168993e-05
therapy near me,physical therapy jobs near me,10,https://www.sunbeltstaffing.com/school-jobs/school-physical-therapy-jobs/,www.sunbeltstaffing.com,6.654806753584496e-06
therapy near me,speech therapy near me,1,https://nocospeech.org/,nocospeech.org,0.00023859333781443763
therapy near me,speech therapy near me,2,https://www.beaumont.org/services/speech-language-pathology,www.beaumont.org,0.00013633905017967866
therapy near me,speech therapy near me,3,https://www.yelp.com/nearme/speech-therapists,www.yelp.com,0.00010225428763475899
